date_or_hour,metric,visits
2026-05-28,RO,1
2026-05-28,SG,2
2026-05-28,SI,5
2026-05-28,US,130
2026-05-28,VN,1
2026-05-29,AT,5
2026-05-29,AU,7
2026-05-29,BA,1
2026-05-29,CA,11
2026-05-29,CN,5
2026-05-29,DE,4
2026-05-29,GB,6
2026-05-29,IL,1
2026-05-29,IT,1
2026-05-29,NL,1
2026-05-29,PL,1
2026-05-29,RO,9
2026-05-29,SG,1
2026-05-29,TH,1
2026-05-29,US,61
2026-05-29,VN,3
2026-05-30,BA,2
2026-05-30,BR,1
2026-05-30,CA,7
2026-05-30,CH,1
2026-05-30,CZ,3
2026-05-30,DE,4
2026-05-30,FI,2
2026-05-30,FR,5
2026-05-30,GB,3
2026-05-30,HK,4
2026-05-30,ID,2
2026-05-30,IE,8
2026-05-30,IT,1
2026-05-30,JP,1
2026-05-30,KR,1
2026-05-30,MO,1
2026-05-30,NL,6
2026-05-30,PT,1
2026-05-30,RU,2
2026-05-30,SE,3
2026-05-30,SG,9
2026-05-30,TH,1
2026-05-30,UA,1
2026-05-30,US,82
2026-05-30,VN,3
2026-05-30,ZA,1
2026-05-31,AE,1
2026-05-31,AT,3
2026-05-31,AU,9
2026-05-31,CA,12
2026-05-31,CH,5
2026-05-31,CN,3
2026-05-31,DE,10
2026-05-31,DK,7
2026-05-31,ES,3
2026-05-31,FR,2
2026-05-31,GB,16
2026-05-31,HK,3
2026-05-31,HU,2
2026-05-31,IL,1
2026-05-31,JP,1
2026-05-31,KR,2
2026-05-31,MY,2
2026-05-31,NL,12
2026-05-31,NO,2
2026-05-31,NZ,1
2026-05-31,PL,1
2026-05-31,SG,9
2026-05-31,TR,1
2026-05-31,US,109
2026-06-01,AR,1
2026-06-01,BD,1
2026-06-01,CA,4
2026-06-01,CO,1
2026-06-01,DE,4
2026-06-01,ES,3
2026-06-01,FI,1
2026-06-01,FR,4
2026-06-01,GB,7
2026-06-01,IT,1
2026-06-01,NL,1
2026-06-01,PL,29
2026-06-01,RO,2
2026-06-01,TW,2
2026-06-01,US,64
2026-06-02,AR,1
2026-06-02,AT,1
2026-06-02,AU,3
2026-06-02,BE,4
2026-06-02,CA,5
2026-06-02,CH,1
2026-06-02,CN,1
2026-06-02,DE,8
2026-06-02,ES,5
2026-06-02,FI,1
2026-06-02,FR,7
2026-06-02,GB,9
2026-06-02,HK,4
2026-06-02,IN,1
2026-06-02,IT,2
2026-06-02,KZ,1
2026-06-02,MY,3
2026-06-02,NL,2
2026-06-02,PL,2
2026-06-02,RU,10
2026-06-02,SG,4
2026-06-02,T1,1
2026-06-02,TR,1
2026-06-02,TW,10
2026-06-02,UA,1
2026-06-02,US,96
2026-06-03,BR,2
2026-06-03,CA,2
2026-06-03,CO,1
2026-06-03,CZ,2
2026-06-03,DE,5
2026-06-03,GB,1
2026-06-03,HK,2
2026-06-03,ID,7
2026-06-03,IE,1
2026-06-03,JP,1
2026-06-03,NL,1
2026-06-03,PL,3
2026-06-03,RO,1
2026-06-03,SK,1
2026-06-03,US,32
2026-06-04,AR,1
2026-06-04,AU,1
2026-06-04,BD,1
2026-06-04,BE,1
2026-06-04,BR,4
2026-06-04,CA,17
2026-06-04,CH,1
2026-06-04,CN,2
2026-06-04,CZ,1
2026-06-04,DE,10
2026-06-04,ES,5
2026-06-04,FR,2
2026-06-04,GB,18
2026-06-04,GR,1
2026-06-04,HK,2
2026-06-04,HU,1
2026-06-04,ID,1
2026-06-04,IT,1
2026-06-04,KR,1
2026-06-04,MY,1
2026-06-04,NL,14
2026-06-04,PK,1
2026-06-04,PT,1
2026-06-04,RO,4
2026-06-04,SE,1
2026-06-04,SG,2
2026-06-04,UA,1
2026-06-04,US,108
2026-06-04,VN,2
2026-06-05,AE,1
2026-06-05,AR,2
2026-06-05,AT,2
2026-06-05,AU,5
2026-06-05,BR,1
2026-06-05,CA,10
2026-06-05,CH,2
2026-06-05,CN,3
2026-06-05,CO,2
2026-06-05,CZ,1
2026-06-05,DE,7
2026-06-05,ES,2
